T,,,,,,,PDF_Year
,,,,,,,2021
,,,,,,,2021
,Total,Total,Reported,,Number of,,2021
Wolf,,,,Reported,,Total,2021
,Number of,Number,Number of,,Verified Reports,,2021
Harvest,,,,Track or Sign,,Verified Wolf,2021
,Observation,of Verified,Wolves,,via Snapshot,,2021
Zone,,,,Observations,,Observations,2021
,Reports,Reports,Observed,,Wisconsin,,2021
1,27,17,45,2,682,699,2021
2,49,20,37,0,205,226,2021
3,14,5,10,0,128,133,2021
4,7,5,12,3,38,43,2021
5,14,9,22,0,520,529,2021
6,63,14,34,1,63,77,2021
Statewide,174,70,158,6,"1,637","1,707",2021
