,Abundance,Lower,Upper,,Lower,Upper,# of
Wolf,,,,,,,
,Estimate,95%,95%,Average,95%,95%,Telemetry
Harvest,,,,,,,
,(mode,Credible,Credible,Pack Size,Credible,Credible,Monitored
Zone,,,,,,,
,value),Limit,Limit,,Limit,Limit,Wolvesb
WHZ 1,401,334,483,4.48,4.09,4.87,21
WHZ 2,288,227,369,4.11,3.47,4.75,9
WHZ 3,173,129,224,4.04,3.35,4.73,7
WHZ 4,70,49,98,3.00,2.12,3.88,0
WHZ 5,94,66,127,3.30,2.58,4.02,5
WHZ 6,101,62,150,2.79,1.96,3.62,1
Statewide,"1,126",937,"1,364",-,-,-,43
Ceded,,,,,,,
,952,797,"1,151",-,-,-,-
Territory,,,,,,,
Non-ceded,,,,,,,
,181,138,233,-,-,-,-
Territory,,,,,,,
Off-,,,,,,,
,"1,091",910,"1,321",-,-,-,-
Reservation,,,,,,,
On-,,,,,,,
,41,32,52,-,-,-,-
Reservation,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
