,n,,Body Condition,,%,
,,,,,Age,% w/Ticks
,,Good,Fair,Poor,w/Mange,
Zone 1,,,,,,
Research Captures,10,,,,,
,,,,,1 Yearling,
male,70%,7,--,--,0%,71%
Sex,,,,,6 Adults,
female,30%,3,--,--,"3 Adults 
0%",67%
Zone 2,,,,,,
Research Captures,1,,,,,
male,--,--,--,--,,
Sex,,,,,,
female,100%,1,--,--,"1 Yearling 
0%",100%
Zone 3,,,,,,
Research Captures,4,,,,,
male,50%,2,--,--,"2 Adults 
0%",100%
Sex,,,,,1 Yearling,
female,50%,2,--,--,0%,100%
,,,,,1 Adults,
Zone 4,,,,,,
Research Captures,0,,,,,
male,--,--,--,--,"-- 
--",--
Sex,,,,,,
female,--,--,--,--,"-- 
--",--
Zone 5,,,,,,
Research Captures,3,,,,,
male,100%,3,--,--,"3 Adults 
0%",33%
Sex,,,,,,
female,--,--,--,--,"-- 
--",--
Zone 6,,,,,,
Research Captures,0,,,,,
male,--,--,--,--,"-- 
--",--
Sex,,,,,,
female,--,--,--,--,"-- 
--",--
STATEWIDE,,,,,,
Research Captures,18,,,,,
,,,,,1 Yearling,
male,67%,100%,--,--,0%,67%
,,,,,11 Adults,
Sex,,,,,,
,,,,,2 Yearlings,
female,33%,100%,--,--,0%,83%
,,,,,4 Adults,
