,Wolf Harvest Zone,,,,,State,
,"1 
2",3,4,5,6,Total,
Livestock Cases,,,,,,,
Confirmed Depredation,,,,,,,
,"28 
2",6,1,5,8,,50
Incidents,,,,,,,
Confirmed Threat Incidents,13,3,1,,1,,18
Chronic Farms Affected,"18 
1",4,,1,,,24
Total Farms Affected,"24 
1",5,2,5,6,,43
Cattle Killed,27,6,1,4,3,,41
Cattle Injured,5,,,,,,5
Captive Deer Killed,4,,,,,,4
Captive Deer Injured,,,,,,,0
Sheep Killed,1,,,,16,,17
Sheep Injured,,,,,,,0
Goats Killed,,,,,,,0
Alpacas Killed,,,,,,,0
Alpacas Injured,,,,,,,0
Horses Killed,1,,,1,1,,3
Horses Injured,,,,,,,0
Poultry Killed,,,,,,,0
Non-Livestock Cases,,,,,,,
Confirmed Depredation,,,,,,,
,"17 
1",3,0,1,0,,22
Incidents,,,,,,,
Confirmed Threat Incidents,"4 
0",0,1,0,0,,5
Dogs Killed While Actively,,,,,,,
,12,2,,1,,,15
Engaged in Hunting Activities,,,,,,,
Dogs Injured While Actively,,,,,,,
,2,1,,,,,3
Engaged in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged,,,,,,,
,5,,,,,,5
in Hunting Activities,,,,,,,
Dogs Injured While Not,,,,,,,
,1,,,,,,1
Engaged in Hunting Activities,,,,,,,
