,,,,,,,,Number,
,,Total,Total,,Reported,,,of,
,Total,,,,,,,,
Wolf,,Number,Number,,Number,,Reported,Verified,Total
,Number of,,,,,,,,
Harvest,of,,of,,of,,Track or Sign,Reports,Verified Wolf
,Observation,,,,,,,,
Zone,,Verified,Probable,,Wolves,,Observations,via,Observations
,Reports,,,,,,,,
,,Reports,Reports,,Observed,,,Snapshot,
,,,,,,,,Wisconsin,
1,15,10,,0,,24,2,718,733
2,31,11,,1,,64,8,165,196
3,2,1,,1,,2,1,48,50
4,3,0,,1,,3,3,22,25
5,7,0,,1,,8,0,448,455
6,67,18,,1,,101,10,257,324
Statewide,125,42,,5,,202,24,"1,658","1,783"
