,,,Wolf Management Unit,,,,State
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Depredation,19,1,2,0,2,13,37
Threat,9,0,1,0,0,1,11
,,,,,,,8 of 34
Chronic Farms Affected,7,0,1,0,0,0,
,,,,,,,(24%)
Total Farms Affected,17,1,3,0,1,9,31
Cattle Killed,18,1,2,,2,10,33
Cattle Injured,3,3,,,,,6
Sheep Killed,17,,,,,10,27
Miniature donkeys Killed,,,2,,,,2
Miniature donkeys Injured,,,1,,,,1
Non-Livestock Cases,,,,,,,
Depredation,31,4,3,1,1,4,44
Threat,0,0,0,0,0,0,0
Dogs Killed While Actively Engaged in,,,,,,,
,32,1,2,1,1,3,40
Hunting Activities,,,,,,,
Dogs Injured While Actively Engaged,,,,,,,
,6,3,1,,,1,11
in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged in,,,,,,,
,1,2,,,,1,4
Hunting Activities,,,,,,,
Dogs Injured While Not Engaged in,,,,,,,
,1,,,,,,1
Hunting Activities,,,,,,,
