,,,,,,,,Average,
,,,,,,Change,# of,Annual,
Wolf,,,# of,,Total #,from,Telemetry,Pack,
,,# of,Wolves,,of,2015-,Monitored,Territoryb,
Unit,,Packs,in Packs,Loners,Wolves,2016,Wolvesa,(mi2),
,Off Reservations,87,383-388,4,387-392,,32,,
1,On Reservations,2,6,0,6,,2,,
,Total,89,389-394,4,393-398,15.9%,34,,49.3 (n=26)
,Off Reservations,50,189-197,4,193-201,,19,,
2,On Reservations,4,11,2,13,,0,,
,Total,54,200-208,6,206-214,-15.2%,19,,69.1 (n=14)
,Off Reservations,33,116-119,1,117-120,,2,,
3,On Reservations,0,0,0,0,,0,,
,Total,33,116-119,1,117-120,21.9%,2,,41.4 (n=2)
,Off Reservations,11,34-37,3,37-40,,0,,
4,On Reservations,0,0,0,0,,0,,
,Total,11,34-37,3,37-40,-28.8%,0,,
,Off Reservations,30,114-120,3,117-123,,9,,
5,On Reservations,0,0,0,0,,0,,
,Total,30,114-120,3,117-123,12.5%,9,,50.1 (n=11)
,Off Reservations,15,44-46,11,55-57,,2,,
6,On Reservations,0,0,0,0,,0,,
,Total,15,44-46,11,55-57,71.9%,2,,-
,Off Reservations,226,880-907,26,906-933,,64,,
Statewide,On Reservations,6,17,2,19,,2,,
,Total,232,897-924,28,925-952,6.8%,66,,54.4 (n=53)
Outside,,4,13-14,1,14-15,,0,,
WI,,,,,,,,,
