,n,Body Condition,,,# (%) w/Mange,# (%) w/Ticks,PDF_Year
,,"Good 
Fair",Poor,,,,2017
Unit 1,,,,,,,2017
Research Captures,17,16 (94%),1 (6%),,0,8 (47%),2017
Mortalities,23,,,,1 (4%),,2017
Unit 2,,,,,,,2017
Research Captures,13,"10 (77%) 
2 (15%)",1 (8%),,1 (8%),9 (69%),2017
Mortalities,6,,,,0,,2017
Unit 3,,,,,,,2017
Research Captures,0,,,,,,2017
Mortalities,1,,,,0,,2017
Unit 4,,,,,,,2017
Research Captures,1,1 (100%),,,0,1 (100%),2017
Mortalities,1,,,,0,,2017
Unit 5,,,,,,,2017
Research Captures,1,1 (100%),,,0,1 (100%),2017
Mortalities,6,,,,0,,2017
Unit 6,,,,,,,2017
Research Captures,1,1 (100%),,,0,0,2017
Mortalities,7,,,,0,,2017
STATEWIDE AVERAGES,,,,,,,2017
Research Captures,33,"29 (88%) 
2 (6%)",2 (6%),,1 (3%),19 (58%),2017
Mortalities,44,,,,1 (2%),,2017
T,,,,,,,2017
,,Wolf Management Unit,,State,% of,,2017
Cause of Death,,,,,,,2017
,1,"2 
3 
4 
5",6,Total,Total,,2017
Human Caused Mortality,,,,,,,2017
Agency Control,,,,0,,,2017
Vehicle Collision,10a,"2 
1 
3",1,17,39%,,2017
Illegally Killed,4be,1,4,9,20%,,2017
Capture Related,2b,1a,1a,4,9%,,2017
Unknown Human Caused,,,,0,,,2017
Total Human Caused,16,"3 
1 
0 
4",6,30,68%,,2017
Natural Mortality,,,,,,,2017
Disease / Injury,,1,,1,2%,,2017
Intra-specific Aggression,,,,0,,,2017
Euthanized (non-control),,,,0,,,2017
Unknown Natural Causes,,,,0,,,2017
Total Natural Causes,0,"0 
0 
0 
1",0,1,2%,,2017
Unknown Causes,7d,"3c 
0 
1 
1",1,13,30%,,2017
Total Detected Mortality,23,"6 
1 
1 
6",7,44,,,2017
aIncludes 1 radio collared wolf,,,,,,,2017
