,n,Body Condition,,# (%) w/Mange,,# (%) w/Ticks,PDF_Year
,,"Good 
Fair",Poor,,,,2018
Unit 1,,,,,,,2018
Research Captures,14,"13 (93%) 
1 (7%)",,,0,10 (71%),2018
Mortalities,19,,,,0,,2018
Unit 2,,,,,,,2018
Research Captures,11,"9 (82%) 
2 (18%)",,,0,6 (55%),2018
Mortalities,6,,,,0,,2018
Unit 3,,,,,,,2018
Research Captures,6,5 (83%),1 (17%),,0,5 (83%),2018
Mortalities,3,,,,0,,2018
Unit 4,,,,,,,2018
Research Captures,0,,,,,,2018
Mortalities,1,,,,0,,2018
Unit 5,,,,,,,2018
Research Captures,5,5 (100%),,,0,3 (60%),2018
Mortalities,5,,,,0,,2018
Unit 6,,,,,,,2018
Research Captures,0,,,,,,2018
Mortalities,2,,,,0,,2018
STATEWIDE AVERAGES,,,,,,,2018
Research Captures,36,"32 (89%) 
3 (8%)",1 (3%),,0,24 (67%),2018
Mortalities,36,,,,0,,2018
T,,,,,,,2018
,,Wolf Management Unit,,State,% of,,2018
Cause of Death,,,,,,,2018
,1,"2 
3 
4 
5",6,Total,Total,,2018
Human Caused Mortality,,,,,,,2018
Agency Control,1,,,1,3%,,2018
Vehicle Collision,7a,"1 
1 
1 
1a",1,12,33%,,2018
Illegally Killed,1a,"4b 
1 
1",,7,19%,,2018
Capture Related,1a,,,1,3%,,2018
Unknown Human Caused,,,,0,,,2018
Total Human Caused,10,"5 
2 
1 
2",1,21,58%,,2018
Natural Mortality,,,,,,,2018
Disease / Injury,2,1a,,3,8%,,2018
Intra-specific Aggression,1a,,,1,3%,,2018
Euthanized (non-control),2,1,,3,8%,,2018
Unknown Natural Causes,1,,,1,3%,,2018
Total Natural Causes,6,"1 
1 
0 
0",0,8,22%,,2018
Unknown Causes,3b,"0 
0 
0 
3a",1,7,19%,,2018
Total Detected Mortality,19,"6 
3 
1 
5",2,36,,,2018
aIncludes 1 radio collared wolf,,,,,,,2018
