0,1,2,3,4,5,6,7,8
Wolf Observations Reported Over the 2020-2021 Monitoring Year,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Wolf 
Mgmt. 
Unit",,"# of 
Packs","# of 
Wolves 
in Packs",Loners,"Total # 
of 
Wolves","Change 
from 
2015-
2016","# of 
Telemetry 
Monitored 
Wolvesa","Average 
Annual 
Pack 
Territoryb 
(mi2)"
1,"Off Reservations 
On Reservations 
Total","87 
2 
89","383-388 
6 
389-394","4 
0 
4","387-392 
6 
393-398",15.9%,"32 
2 
34",49.3 (n=26)
2,"Off Reservations 
On Reservations 
Total","50 
4 
54","189-197 
11 
200-208","4 
2 
6","193-201 
13 
206-214",-15.2%,"19 
0 
19",69.1 (n=14)
3,"Off Reservations 
On Reservations 
Total","33 
0 
33","116-119 
0 
116-119","1 
0 
1","117-120 
0 
117-120",21.9%,"2 
0 
2",41.4 (n=2)
4,"Off Reservations 
On Reservations 
Total","11 
0 
11","34-37 
0 
34-37","3 
0 
3","37-40 
0 
37-40",-28.8%,"0 
0 
0",
5,"Off Reservations 
On Reservations 
Total","30 
0 
30","114-120 
0 
114-120","3 
0 
3","117-123 
0 
117-123",12.5%,"9 
0 
9",50.1 (n=11)
6,"Off Reservations 
On Reservations 
Total","15 
0 
15","44-46 
0 
44-46","11 
0 
11","55-57 
0 
55-57",71.9%,"2 
0 
2",-
"Off Reservations 
Statewide 
On Reservations 
 
Total",,"226 
6 
232","880-907 
17 
897-924","26 
2 
28","906-933 
19 
925-952",6.8%,"64 
2 
66",54.4 (n=53)
,,,,,,,,
"Outside 
 
WI",,4,13-14,1,14-15,,0,
"Wolf 
Mgmt. 
Unit",,"# of 
Packs","# of 
Wolves 
in Packs",Loners,"Total # 
of 
Wolves","Change 
from 
2016-
2017","# of 
Telemetry 
Monitored 
Wolvesa","Average 
Annual 
Pack 
Territoryb 
(mi2)"
1,"Off Reservations 
On Reservations 
Total","89 
2 
91","336-354 
9-10 
345-364","3 
1 
4","339-357 
10-11 
349-368",-11.2%,"28 
2 
30",50.2 (n=25)
2,"Off Reservations 
On Reservations 
Total","52 
5 
57","209-217 
19 
228-236","2 
0 
2","211-219 
19 
230-238",11.7%,"22 
1 
23",63.5 (n=18)
3,"Off Reservations 
On Reservations 
Total","28 
0 
28","83 
0 
83","1 
0 
1","84 
0 
84",-28.2%,"7 
0 
7",45.1 (n=6)
4,"Off Reservations 
On Reservations 
Total","11 
0 
11","34-37 
0 
34-37","4 
0 
4","38-41 
0 
38-41",2.7%,"0 
0 
0",
5,"Off Reservations 
On Reservations 
Total","34 
0 
34","142-151 
0 
142-151","2 
0 
2","144-153 
0 
144-153",23.1%,"10 
0 
10",36.7 (n=8)
6,"Off Reservations 
On Reservations 
Total","17 
0 
17","51 
0 
51","9 
0 
9","60 
0 
60",9.1%,"2 
0 
2",40.2 (n=1)
"Off Reservations 
Statewide 
On Reservations 
 
Total",,"231 
7 
238","855-893 
28-29 
883-922","21 
1 
22","876-914 
29-30 
905-944",-2.2%,"69 
3 
72",51.8 (n=58)
,,,,,,,,
"Outside 
 
WI",,1,2,0,2,,1,
