,Number of,Wolves,Track or Sign,Total Wolf
Unit,Sightings,Seen,Observations,Observations
1,33,69,52,85
2,18,33,22,40
3,6,10,4,10
4,11,30,7,18
5,3,4,5,8
6,62,90,16,78
Statewide,133,236,106,239
Unit,Sightings,Seen,Observations,Observations
1,17,29,25,42
2,22,31,20,42
3,12,15,4,16
4,9,20,1,10
5,16,24,2,18
6,89,117,18,107
Statewide,165,236,70,235
Unit,Sightings,Seen,Observations,Observations
1,14,24,35,49
2,18,32,10,28
3,12,20,5,17
4,5,10,2,7
5,25,50,3,28
6,61,78,11,72
Statewide,135,214,66,201
