T,,,,,,,PDF_Year
,,,,,,% Deer Range,2018
,,,2016 Post-Hunt,2017 Post-Hunt,,,2018
Wolf,# of Deer,Deer,,,,in each,2018
,,,Mean Deer,Mean Deer,%,,2018
,,Range,,,,,2018
,,,,,,2018-20 Deer,2018
,,,Density,Density,Change,,2018
Unit,Zones,(mi2),,,,Population,2018
,,,(Deer/mi2),(Deer/mi2),,,2018
,,,,,,Objective,2018
,,,,,,43% Increase,2018
,,,,,,36% Maintain,2018
1,7,"6,516",18.7,21.3,+11%,,2018
,,,,,,22% Decrease,2018
,,,,,,49% Increase,2018
2,6,"4,573",19.2,26.6,+39%,,2018
,,,,,,51% Maintain,2018
,,,,,,26% Increase,2018
3,4,"3,141",31.0,31.4,+1%,,2018
,,,,,,74% Maintain,2018
,,,,,,67% Maintain,2018
4,4,"2,305",35.7,38.6,+8%,,2018
,,,,,,33% Decrease,2018
,,,,,,69% Increase,2018
5,7,"2,315",31.5,34.1,+8%,,2018
,,,,,,31% Maintain,2018
,,,,,,3% Increase,2018
6,53,"16,995",51.7,50.0,-3%,68% Maintain,2018
,,,,,,30% Decrease,2018
TOTAL,81,"35,845",37.3,38.4,+2%,,2018
,,,,,,,2018
,,,,,,% Deer Range,2019
,,,2017 Post-Hunt,2018 Post-Hunt,,,2019
Wolf,# of Deer,Deer,,,,in each,2019
,,,Mean Deer,Mean Deer,%,,2019
,,Range,,,,,2019
,,,,,,2018-20 Deer,2019
,,,Density,Density,Change,,2019
Unit,Zones,(mi2),,,,Population,2019
,,,(Deer/mi2),(Deer/mi2),,,2019
,,,,,,Objective,2019
,,,,,,43% Increase,2019
,,,,,,36% Maintain,2019
1,7,"6,477",21.3,22.2,+4%,,2019
,,,,,,22% Decrease,2019
,,,,,,49% Increase,2019
2,6,"4,401",26.6,25.5,-4%,,2019
,,,,,,51% Maintain,2019
,,,,,,26% Increase,2019
3,5,"3,439",31.4,31.5,0%,,2019
,,,,,,74% Maintain,2019
,,,,,,67% Maintain,2019
4,4,"2,596",38.6,38.1,-1%,,2019
,,,,,,33% Decrease,2019
,,,,,,69% Increase,2019
5,7,"2,162",34.1,33.9,-1%,,2019
,,,,,,31% Maintain,2019
,,,,,,3% Increase,2019
6,53,"17,592",50.0,55.3,+11%,68% Maintain,2019
,,,,,,30% Decrease,2019
TOTAL,82,"36,667",38.4,41.2,+7%,,2019
,,,,,,,2019
