,n,Body Condition,,# (%) w/Mange,,# (%) w/Ticks
,,"Good 
Fair",Poor,,,
Unit 1,,,,,,
Research Captures,14,"13 (93%) 
1 (7%)",,,0,10 (71%)
Mortalities,19,,,,0,
Unit 2,,,,,,
Research Captures,11,"9 (82%) 
2 (18%)",,,0,6 (55%)
Mortalities,6,,,,0,
Unit 3,,,,,,
Research Captures,6,5 (83%),1 (17%),,0,5 (83%)
Mortalities,3,,,,0,
Unit 4,,,,,,
Research Captures,0,,,,,
Mortalities,1,,,,0,
Unit 5,,,,,,
Research Captures,5,5 (100%),,,0,3 (60%)
Mortalities,5,,,,0,
Unit 6,,,,,,
Research Captures,0,,,,,
Mortalities,2,,,,0,
STATEWIDE AVERAGES,,,,,,
Research Captures,36,"32 (89%) 
3 (8%)",1 (3%),,0,24 (67%)
Mortalities,36,,,,0,
T,,,,,,
,,Wolf Management Unit,,State,% of,
Cause of Death,,,,,,
,1,"2 
3 
4 
5",6,Total,Total,
Human Caused Mortality,,,,,,
Agency Control,1,,,1,3%,
Vehicle Collision,7a,"1 
1 
1 
1a",1,12,33%,
Illegally Killed,1a,"4b 
1 
1",,7,19%,
Capture Related,1a,,,1,3%,
Unknown Human Caused,,,,0,,
Total Human Caused,10,"5 
2 
1 
2",1,21,58%,
Natural Mortality,,,,,,
Disease / Injury,2,1a,,3,8%,
Intra-specific Aggression,1a,,,1,3%,
Euthanized (non-control),2,1,,3,8%,
Unknown Natural Causes,1,,,1,3%,
Total Natural Causes,6,"1 
1 
0 
0",0,8,22%,
Unknown Causes,3b,"0 
0 
0 
3a",1,7,19%,
Total Detected Mortality,19,"6 
3 
1 
5",2,36,,
aIncludes 1 radio collared wolf,,,,,,
,,"Good 
Fair",Poor,,,
Unit 1,,,,,,
Research Captures,26,"21 (81%) 
2 (8%)",3 (14%),,0,18 (69%)
Mortalities,11,,,,0,
Unit 2,,,,,,
Research Captures,6,"5 (83%) 
1 (17%)",,,0,3 (50%)
Mortalities,9,,,,0,
Unit 3,,,,,,
Research Captures,1,1 (100%),,,0,1 (100%)
Mortalities,2,,,,0,
Unit 4,,,,,,
Research Captures,2,2 (100%),,,0,0
Mortalities,1,,,,0,
Unit 5,,,,,,
Research Captures,3,3 (100%),,,0,0
Mortalities,9,,,,0,
Unit 6,,,,,,
Research Captures,2,2 (100%),,,0,1 (50%)
Mortalities,9,,,,0,
STATEWIDE AVERAGES,,,,,,
Research Captures,40,"33 (82%) 
4 (10%)",3 (8%),,0,23 (58%)
Mortalities,41,,,,0,
T,,,,,,
,,Wolf Management Unit,,State,% of,
Cause of Death,,,,,,
,1,"2 
3 
4 
5",6,Total,Total,
Human Caused Mortality,,,,,,
Agency Control,,,,0,,
Vehicle Collision,4a,"4 
2a 
1 
3",4,18,44%,
Illegally Killed,3c,"2a 
 
3a",2a,10,24%,
Capture Related,,1,,1,2%,
Unknown Human Caused,,,,0,,
Total Human Caused,7,"6 
2 
1 
7",6,29,71%,
Natural Mortality,,,,,,
Disease / Injury,,2a,,2,5%,
Intra-specific Aggression,,,,0,,
Euthanized (non-control),,,,0,,
Unknown Natural Causes,,,,0,,
Total Natural Causes,0,"0 
0 
0 
2",0,2,5%,
Unknown Causes,4d,"3b 
0 
0 
0",3,10,24%,
Total Detected Mortality,11,"9 
2 
1 
9",9,41,,
aIncludes 1 radio collared wolf,,,,,,
bIncludes 2 radio collared wolves,,,,,,
cIncludes 3 radio collared wolves,,,,,,
,,,,,,
1,,,,,,
