,Number of,Wolves,Track or Sign,Total Wolf,PDF_Year
Unit,Sightings,Seen,Observations,Observations,2017
1,33,69,52,85,2017
2,18,33,22,40,2017
3,6,10,4,10,2017
4,11,30,7,18,2017
5,3,4,5,8,2017
6,62,90,16,78,2017
Statewide,133,236,106,239,2017
Unit,Sightings,Seen,Observations,Observations,2018
1,17,29,25,42,2018
2,22,31,20,42,2018
3,12,15,4,16,2018
4,9,20,1,10,2018
5,16,24,2,18,2018
6,89,117,18,107,2018
Statewide,165,236,70,235,2018
Unit,Sightings,Seen,Observations,Observations,2019
1,14,24,35,49,2019
2,18,32,10,28,2019
3,12,20,5,17,2019
4,5,10,2,7,2019
5,25,50,3,28,2019
6,61,78,11,72,2019
Statewide,135,214,66,201,2019
Unit,Sightings,Seen,Observations,Observations,2020
1,47,87,54,101,2020
2,40,84,14,54,2020
3,11,21,9,20,2020
4,10,23,1,11,2020
5,21,48,5,26,2020
6,75,101,8,83,2020
Statewide,204,364,91,295,2020
