,n,,Body Condition,,%,,PDF_Year
,,,,,Age,% w/Ticks,2021
,,Good,Fair,Poor,w/Mange,,2021
Zone 1,,,,,,,2021
Research Captures,10,,,,,,2021
,,,,,1 Yearling,,2021
male,70%,7,--,--,0%,71%,2021
Sex,,,,,6 Adults,,2021
female,30%,3,--,--,"3 Adults 
0%",67%,2021
Zone 2,,,,,,,2021
Research Captures,1,,,,,,2021
male,--,--,--,--,,,2021
Sex,,,,,,,2021
female,100%,1,--,--,"1 Yearling 
0%",100%,2021
Zone 3,,,,,,,2021
Research Captures,4,,,,,,2021
male,50%,2,--,--,"2 Adults 
0%",100%,2021
Sex,,,,,1 Yearling,,2021
female,50%,2,--,--,0%,100%,2021
,,,,,1 Adults,,2021
Zone 4,,,,,,,2021
Research Captures,0,,,,,,2021
male,--,--,--,--,"-- 
--",--,2021
Sex,,,,,,,2021
female,--,--,--,--,"-- 
--",--,2021
Zone 5,,,,,,,2021
Research Captures,3,,,,,,2021
male,100%,3,--,--,"3 Adults 
0%",33%,2021
Sex,,,,,,,2021
female,--,--,--,--,"-- 
--",--,2021
Zone 6,,,,,,,2021
Research Captures,0,,,,,,2021
male,--,--,--,--,"-- 
--",--,2021
Sex,,,,,,,2021
female,--,--,--,--,"-- 
--",--,2021
STATEWIDE,,,,,,,2021
Research Captures,18,,,,,,2021
,,,,,1 Yearling,,2021
male,67%,100%,--,--,0%,67%,2021
,,,,,11 Adults,,2021
Sex,,,,,,,2021
,,,,,2 Yearlings,,2021
female,33%,100%,--,--,0%,83%,2021
,,,,,4 Adults,,2021
