,Pack-,,,,,,,PDF_Year
,Associated,,,,,,,2022
,,Lower,Upper,,Lower,Upper,# of,2022
Wolf,Wolf,,,Average,,,,2022
,,95%,95%,,95%,95%,Telemetry,2022
Harvest,Abundance,,,Pack,,,,2022
,,Credible,Credible,,Credible,Credible,Monitored,2022
Zone,Estimate,,,Size,,,,2022
,,Limit,Limit,,Limit,Limit,Wolvesb,2022
,(mode,,,,,,,2022
,value),,,,,,,2022
WHZ 1,363,304,450,4.13,3.80,4.46,9,2022
WHZ 2,232,188,288,3.31,2.98,3.63,4,2022
WHZ 3,130,98,168,3.22,2.63,3.79,6,2022
WHZ 4,66,50,88,2.77,2.26,3.27,2,2022
WHZ 5,92,68,121,2.85,2.25,3.43,6,2022
WHZ 6,90,66,124,2.70,2.35,3.04,1,2022
Statewide,972,812,"1,193",-,-,-,28,2022
Ceded,,,,,,,,2022
,801,668,976,-,-,-,-,2022
Territory,,,,,,,,2022
Non-Ceded,,,,,,,,2022
,179,141,227,-,-,-,-,2022
Territory,,,,,,,,2022
Off-,,,,,,,,2022
,940,788,"1,151",-,-,-,-,2022
Reservation,,,,,,,,2022
On-,,,,,,,,2022
,37,29,48,-,-,-,-,2022
Reservationa,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
,,,,,,,,2022
