,Wolf Harvest Zone,,,,,State,,PDF_Year
,"1 
2",3,4,5,6,Total,,2022
Livestock Cases,,,,,,,,2022
Confirmed Depredation,,,,,,,,2022
,"28 
2",6,1,5,8,,50,2022
Incidents,,,,,,,,2022
Confirmed Threat Incidents,13,3,1,,1,,18,2022
Chronic Farms Affected,"18 
1",4,,1,,,24,2022
Total Farms Affected,"24 
1",5,2,5,6,,43,2022
Cattle Killed,27,6,1,4,3,,41,2022
Cattle Injured,5,,,,,,5,2022
Captive Deer Killed,4,,,,,,4,2022
Captive Deer Injured,,,,,,,0,2022
Sheep Killed,1,,,,16,,17,2022
Sheep Injured,,,,,,,0,2022
Goats Killed,,,,,,,0,2022
Alpacas Killed,,,,,,,0,2022
Alpacas Injured,,,,,,,0,2022
Horses Killed,1,,,1,1,,3,2022
Horses Injured,,,,,,,0,2022
Poultry Killed,,,,,,,0,2022
Non-Livestock Cases,,,,,,,,2022
Confirmed Depredation,,,,,,,,2022
,"17 
1",3,0,1,0,,22,2022
Incidents,,,,,,,,2022
Confirmed Threat Incidents,"4 
0",0,1,0,0,,5,2022
Dogs Killed While Actively,,,,,,,,2022
,12,2,,1,,,15,2022
Engaged in Hunting Activities,,,,,,,,2022
Dogs Injured While Actively,,,,,,,,2022
,2,1,,,,,3,2022
Engaged in Hunting Activities,,,,,,,,2022
Dogs Killed While Not Engaged,,,,,,,,2022
,5,,,,,,5,2022
in Hunting Activities,,,,,,,,2022
Dogs Injured While Not,,,,,,,,2022
,1,,,,,,1,2022
Engaged in Hunting Activities,,,,,,,,2022
