,n,,Body Condition,,,%,PDF_Year
,,,,,Age,% w/Ticks,2022
,,Good,Fair,Poor,,w/Mange,2022
Zone 1,,,,,,,2022
Research Captures,3,,,,,,2022
,,,,,1 Yearling,,2022
male,2,2,--,--,,"0 
0",2022
Sex,,,,,1 Adults,,2022
female,1,1,--,--,1 Yearling,"0 
0",2022
Zone 2,,,,,,,2022
Research Captures,1,,,,,,2022
male,1,1,--,--,1 Adult,"0 
0",2022
Sex,,,,,,,2022
female,--,--,--,--,--,,2022
Zone 3,,,,,,,2022
Research Captures,5,,,,,,2022
male,4,3,1,--,4 Adults,"25 
100",2022
Sex,,,,,,,2022
female,1,--,1,--,1 Yearling,"0 
100",2022
Zone 4,,,,,,,2022
Research Captures,2,,,,,,2022
male,1,1,--,--,1 Adult,"0 
100",2022
Sex,,,,,,,2022
female,1,1,--,--,1 Adult,"0 
100",2022
Zone 5,,,,,,,2022
Research Captures,2,,,,,,2022
male,--,--,--,--,--,"0 
0",2022
Sex,,,,,1 Yearling,,2022
female,2,2,--,--,,"0 
50",2022
,,,,,1 Adult,,2022
Zone 6,,,,,,,2022
Research Captures,1,,,,,,2022
male,1,1,--,--,1 Adult,"0 
100",2022
Sex,,,,,,,2022
female,--,--,--,--,"-- 
--",--,2022
STATEWIDE,,,,,,,2022
Research Captures,14,,,,,,2022
,,,,,1 Yearling,,2022
male,9,8,1,--,,"11 
66",2022
,,,,,8 Adults,,2022
Sex,,,,,,,2022
,,,,,3 Yearlings,,2022
female,5,4,1,--,,"0 
60",2022
,,,,,2 Adults,,2022
