0,1,2,3,4,5,6,7
"Wolf Harvest Zone 
 State",,,,,,,
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Confirmed Depredation Incidents,39,2,8,,6,3,58
Confirmed Threat Incidents,7,1,3,,3,,14
Chronic Farms Affected,12,,4,,1,,17
Total Farms Affected,15,3,8,,7,2,35
Cattle Killed,15,2,2,,8,1,28
Cattle Injured,1,1,,,,,2
Deer Killed,,,,,,,0
Deer Injured,,,,,,,0
Sheep Killed,2,,,,,12,14
Sheep Injured,,,,,,,0
Goats Killed,,,1,,,,1
Alpacas Killed,,,,,,,0
Alpacas Injured,,,,,,,0
Horses Killed,3,,,,,,3
Horses Injured,6,,,,,1,7
Poultry Killed,40,,,,,,40
Non-Livestock Cases,,,,,,,
Confirmed Depredation Incidents,16,9,6,3,2,1,37
Confirmed Threat Incidents,3,0,1,2,0,0,6
"Dogs Killed While Actively Engaged 
in Hunting Activities",7,4,1,,1,1,14
"Dogs Injured While Actively 
Engaged in Hunting Activities",7,3,,,2,,12
"Dogs Killed While Not Engaged in 
Hunting Activities",2,1,,,1,,4
"Dogs Injured While Not Engaged in 
Hunting Activities",,,,1,,,1
,Wolf Harvest Zone,,,,,,State
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
"Confirmed Depredation 
Incidents",28,2,6,1,5,8,50
Confirmed Threat Incidents,13,,3,1,,1,18
Chronic Farms Affected,18,1,4,,1,,24
Total Farms Affected,24,1,5,2,5,6,43
Cattle Killed,27,,6,1,4,3,41
Cattle Injured,5,,,,,,5
Captive Deer Killed,,4,,,,,4
Captive Deer Injured,,,,,,,0
Sheep Killed,1,,,,,16,17
Sheep Injured,,,,,,,0
Goats Killed,,,,,,,0
Alpacas Killed,,,,,,,0
Alpacas Injured,,,,,,,0
Horses Killed,1,,,,1,1,3
Horses Injured,,,,,,,0
Poultry Killed,,,,,,,0
Non-Livestock Cases,,,,,,,
"Confirmed Depredation 
Incidents",17,1,3,0,1,0,22
Confirmed Threat Incidents,4,0,0,1,0,0,5
"Dogs Killed While Actively 
Engaged in Hunting Activities",12,,2,,1,,15
"Dogs Injured While Actively 
Engaged in Hunting Activities",2,,1,,,,3
"Dogs Killed While Not Engaged 
in Hunting Activities",5,,,,,,5
"Dogs Injured While Not 
Engaged in Hunting Activities",,1,,,,,1
